292,33,53,2015,1,NOITE,40,238,5.95,58.71,82.775
293,35,53,2015,1,MANHÃ,40,194,4.85,57.75,83.62
294,42,53,2015,1,MANHÃ,40,120,3,58.85,94.6
295,43,53,2015,1,MANHÃ,40,51,1.275,24.2,86.35
296,44,53,2015,1,MANHÃ,80,160,2,47.575,76.75
297,44,53,2015,1,NOITE,60,402,6.7,64,82.5
298,45,53,2015,1,MANHÃ,80,195,2.4375,53.11,85.25
299,45,53,2015,1,NOITE,60,468,7.8,65.823,100
300,47,53,2015,1,INTEGRAL,40,103,2.575,52.75,100
301,69,53,2015,1,TARDE,40,48,1.2,20.905,94.6
302,69,53,2015,1,NOITE,40,225,5.625,56.5,81.885
303,26,54,2015,1,MANHÃ,35,140,4,63.25,80.025
304,26,54,2015,1,NOITE,35,288,8.228571429,71.225,100
305,41,54,2015,1,NOITE,35,328,9.371428571,68.75,91.3
306,13,55,2015,1,TARDE,40,116,2.9,51.425,100
307,13,55,2015,1,NOITE,40,376,9.4,60.775,91.025
308,15,55,2015,1,MANHÃ,40,64,1.6,37.675,66.5
309,15,55,2015,1,NOITE,40,136,3.4,52.525,75.25
310,30,55,2015,1,EAD,80,438,5.475,62.15,87.25
311,70,55,2015,1,TARDE,40,42,1.05,27.968,82.25
312,70,55,2015,1,NOITE,40,103,2.575,42.94,80.3
313,4,56,2015,1,TARDE,40,164,4.1,59.325,93.75
314,4,56,2015,1,NOITE,40,578,14.45,67.65,91.248
315,10,56,2015,1,MANHÃ,40,252,6.3,67.1,91.85
316,10,56,2015,1,TARDE,40,77,1.925,47.3,86.9
317,30,56,2015,1,MANHÃ,40,221,5.525,60.775,82.5
318,37,56,2015,1,NOITE,40,341,8.525,61.325,78.925
319,37,56,2015,1,TARDE,40,61,1.525,38.138,69.213
320,52,56,2015,1,NOITE,40,122,3.05,53.303,77.123
321,52,56,2015,1,TARDE,40,59,1.475,21.45,74.25
322,4,57,2015,1,MANHÃ,40,225,5.625,63.525,83.05
323,4,57,2015,1,NOITE,40,406,10.15,68.083,89.1
324,30,57,2015,1,MANHÃ,40,193,4.825,56.218,78.253
325,30,57,2015,1,TARDE,40,74,1.85,38.225,86.35
326,37,57,2015,1,NOITE,40,268,6.7,57.348,82.49
327,37,57,2015,1,TARDE,40,94,2.35,31.358,81
328,29,58,2015,1,NOITE,30,58,1.933333333,47.025,83
329,68,58,2015,1,TARDE,30,0,0,0,0
330,68,58,2015,1,NOITE,30,117,3.9,82.5,58.478
331,30,59,2015,1,NOITE,40,128,3.2,50.6,87.575
332,32,59,2015,1,MANHÃ,40,68,1.7,37.25,73.425
333,30,60,2015,1,MANHÃ,40,57,1.425,35.03,72.615
334,30,60,2015,1,NOITE,40,192,4.8,52.25,82
335,30,60,2015,1,EAD,80,170,2.125,48.675,86.625
336,40,60,2015,1,NOITE,40,88,2.2,42.35,78.818
337,48,60,2015,1,TARDE,40,45,1.125,32,70.125
338,48,60,2015,1,NOITE,40,100,2.5,45.1,68.475
339,4,61,2015,1,VESPERTINO,40,220,5.5,61.868,87
340,4,61,2015,1,NOITE,40,420,10.5,69.575,94.75
341,17,61,2015,1,TARDE,40,90,2.25,45.375,80.34
342,20,61,2015,1,MANHÃ,40,124,3.1,51.415,73.975
343,20,61,2015,1,NOITE,80,452,5.65,59.225,80.795
344,37,61,2015,1,TARDE,40,128,3.2,53.35,78.65
345,52,61,2015,1,NOITE,40,112,2.8,49.5,85.25
346,53,61,2015,1,MANHÃ,40,73,1.825,37.675,73.425
347,59,61,2015,1,MANHÃ,40,129,3.225,53.075,81.125
348,59,61,2015,1,NOITE,40,361,9.025,64.625,81.675
349,66,61,2015,1,MANHÃ,40,133,3.325,51.425,80.85
350,2,62,2015,1,NOITE,40,128,3.2,44.635,77.688
351,2,62,2015,1,TARDE,40,60,1.5,29.25,66.75
352,4,62,2015,1,NOITE,40,247,6.175,62,78.75
353,4,62,2015,1,TARDE,40,63,1.575,40.975,80.3
354,30,62,2015,1,EAD,40,84,2.1,52.525,78.5
355,56,62,2015,1,MANHÃ,40,70,1.75,20.075,72.25
356,56,62,2015,1,NOITE,40,165,4.125,52.25,73.975
357,68,62,2015,1,MANHÃ,40,51,1.275,32.725,79.75
358,7,63,2015,1,NOITE,40,204,5.1,56.1,100
359,7,63,2015,1,TARDE,40,58,1.45,27.295,73.975
360,25,63,2015,1,NOITE,40,113,2.825,47.46,77.275
361,25,63,2015,1,MANHÃ,40,70,1.75,39.05,71.225
362,30,63,2015,1,TARDE,40,59,1.475,29.975,66.275
363,30,63,2015,1,NOITE,40,322,8.05,57.2,84.425
364,30,63,2015,1,EAD,80,173,2.1625,48.75,78.925
365,40,63,2015,1,NOITE,40,134,3.35,48.4,80.85
366,40,63,2015,1,MANHÃ,40,72,1.8,28.6,73.7
367,55,63,2015,1,TARDE,40,86,2.15,50.875,90.118
368,4,64,2015,1,NOITE,40,174,4.35,60.5,82.775
369,17,64,2015,1,TARDE,40,39,0.975,15.95,59.043
370,17,64,2015,1,NOITE,40,89,2.225,42.35,68.75
371,30,64,2015,1,EAD,40,198,4.95,55.825,76.75
